model,mae,smape,mase24,mase168
SeasonalNaive_168,70.75892857142857,14.007294919905169,1.732307607403108,1.4823375640628762
AutoETS_24,94.67073530634117,17.81728790644057,1.9718985845949053,1.6703211802044404
AutoETS_168,95.69294651397861,17.433838171696806,1.9752056837940208,1.768963401915308
SeasonalNaive_24,111.5297619047619,18.761885270542045,2.1859388383130813,2.0022210470650452
CB_Lags_Seasonal_Calendar_Fourier,109.98009678667762,19.69876691312286,2.3964597907950163,2.118410133064364
CB_Lags_Seasonal_Fourier,112.73821643056954,19.88306331374644,2.4766763172779123,2.191485955868603
CB_Lags_Fourier,108.78873092569225,19.95527839751975,2.541437845060127,2.2192319548206174
CB_Lags_Seasonal,114.96072704400821,20.52819104987094,2.5544182230713792,2.333958400858264
AutoTheta_24,167.00287241815812,28.161329168980473,2.562926175706982,2.3662910485954636
CB_Lags,113.27135487909804,21.463925846376846,2.6579713542362517,2.37660115055096
CB_Lags_Seasonal_Calendar,125.28960069730938,22.044945039164453,2.780858802821106,2.3877556942104423
CB_Lags_Calendar,128.76332009977148,22.260730315951555,2.9559780310044133,2.423464215632207
AutoTheta_168,169.27681244778762,29.100368167114812,2.600484254815859,2.4877358389483946
Naive,229.76190476190476,43.5000877290215,4.931935115476586,4.18228639749839
