seasonality_group,model,mae,smape,mase24,mase168
medium,AutoETS_168,117.26985879171798,19.146324222102812,2.0657539428370524,1.836149549850214
medium,AutoETS_24,131.60460852573914,21.374756042077983,2.28378155055512,2.0414509967633534
medium,AutoTheta_168,207.2754069203498,36.60972026726681,3.8332628274723497,3.2461626352302866
medium,AutoTheta_24,210.71249889891237,36.7460741661926,3.7871953644477196,3.207683032794055
medium,Naive,294.5863095238095,51.06904012436947,5.4971522955969245,4.7512821155599925
medium,SeasonalNaive_168,101.14613095238096,16.578885179564047,1.7835537128303656,1.5728765454256552
medium,SeasonalNaive_24,144.9247023809524,23.277750526548534,2.577266163995942,2.2620880567519706
strong,AutoETS_168,451.5021956025488,19.740705458349304,2.2992407896482705,2.2640499477742337
strong,AutoETS_24,444.9147619509846,23.760407824154175,2.670531382345108,2.6347522398254064
strong,AutoTheta_168,724.6705704212391,40.68193860546749,4.242417257455625,3.878025359922181
strong,AutoTheta_24,726.0142723064957,42.07484242300499,4.387962785480556,4.0276029969572775
strong,Naive,1093.972619047619,49.411225078272075,6.304309593945407,6.032231627635038
strong,SeasonalNaive_168,332.60565476190476,16.437903556014145,1.9819249525328595,1.966392806983176
strong,SeasonalNaive_24,541.4720238095239,23.771307556336588,2.966613876337415,2.8652108737148096
weak,AutoETS_168,230.98433379523854,28.141865982391778,2.2388100441310925,1.8291410739857117
weak,AutoETS_24,190.28445886190914,27.664419689733393,1.8051858292956768,1.7072698121073344
weak,AutoTheta_168,233.6147261701141,29.12404675386511,2.218248088572071,1.8744247005397032
weak,AutoTheta_24,226.70123368602844,29.596736688677037,2.2438700931837747,1.8762818114245572
weak,Naive,297.98958333333337,36.899329372480835,2.960073164504057,2.5767139412666524
weak,SeasonalNaive_168,142.41041666666666,18.384364547388444,1.4135362621358483,1.2297844145550556
weak,SeasonalNaive_24,192.07440476190476,23.063828343627982,1.7373776346099863,1.5401892946169933
